"product_id";"product_name";"quantity";"product_ean";"product_sku";"product_category_name";"price";"product_tax";"weight";"description";"additional_desc_1";"additional_desc_2";"additional_desc_3";"additional_desc_4";"photo";"additional_photo_1";"additional_photo_2";"additional_photo_3";"additional_photo_4";"additional_photo_5";"additional_photo_6";"additional_photo_7";"additional_photo_8";"additional_photo_9";"additional_photo_10";"additional_photo_11";"additional_photo_12";"additional_photo_13";"additional_photo_14";"additional_photo_15";"product_manufacturer_name"
"36830757";"Podnoszony od przodu stelaż do łóżka premium 117x199";-362;"";"Pres120spr";"Brak danych";258.30;23%;17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36831168";"Podnoszony od przodu stelaż do łóżka premium 137x199";-192;"";"Pres140spr";"Brak danych";270.60;23%;17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36831351";"Podnoszony od przodu stelaż do łóżka premium 157x199";-37;"";"Pres160spr";"Brak danych";282.90;23%;17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36831654";"Podnoszony od przodu stelaż do łóżka premium 177x199";-22;"";"Pres180spr";"Brak danych";295.20;23%;17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36831797";"Transport";0;"";"Tra-pressio";"Brak danych";615.00;23%;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38025402";"Podnoszony od przodu stelaż do łóżka premium 88x199";78;"";"Pres90spr";"Brak danych";209.10;23%;12;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47181756";"Listwa sprężynująca 780 mm";-2400;"";"lis780szt";"Brak danych";0.00;23%;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62033273";"Rama łóżka 200 skręcana 1990x2200 BoxST GRU + P.ST+1000Nx2 ECO";974;"";"met1990x2200";"Brak danych";0.00;23%;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62033277";"Belka środkowa do rama łóżka 200 skręcana 1990x2200 BoxST GRU + P.ST+1000Nx2 ECO";999;"";"metS220";"Brak danych";0.00;23%;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69505924";"Listwa sklejkowa sklejka 200x5x2 brzozowa";5000;"";"skl200";"Brak danych";0.00;23%;1.2;"<p>Przedmiotem aukcji jest mocna listwa sklejkowa brzozowa o wymiarach 1490mm x 50mm x 20mm klejona wzdłużnie<br></p>";"<div>Sklejka polskiego producenta, na życzenie docinamy na dowolny wymiar do rozmiaru 149cm <br></div><div>
Listwa jest czterostronnie frezowana</div><div>

Na innych aukcjach mamy różne długości  nawet do 225cm <br></div><div>Zapraszam do zakupów<br></div>";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/d6b36029acc872fec48d29cde210e6ff.png";"";"https://upload.cdn.baselinker.com/products/2000076/c50f2907841980c79c07acfebf6beb61.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"Moledo"
